name,link,year_from,year_to,college,first,last,nbaID,bbrID
Anthony Bonner,/players/b/bonnean01.html,1991,1996,Saint Louis University,Bonner,Anthony,41,bonnean01
Matt Bonner,/players/b/bonnema01.html,2005,2016,University of Florida,Bonner,Matt,2588,bonnema01
Devin Booker,/players/b/bookede01.html,2016,2017,University of Kentucky,Booker,Devin,1626164,bookede01
Melvin Booker,/players/b/bookeme01.html,1996,1997,University of Missouri,Booker,Melvin,511,bookeme01
Trevor Booker,/players/b/booketr01.html,2011,2017,Clemson University,Booker,Trevor,202344,booketr01
Josh Boone,/players/b/boonejo01.html,2007,2010,University of Connecticut,Boone,Josh,200767,boonejo01
Ron Boone,/players/b/boonero01.html,1969,1981,Idaho State University,Boone,Ron,76204,boonero01
Calvin Booth,/players/b/boothca01.html,2000,2009,Pennsylvania State University,Booth,Calvin,1916,boothca01
Keith Booth,/players/b/boothke01.html,1998,1999,University of Maryland,Booth,Keith,1522,boothke01
Carlos Boozer,/players/b/boozeca01.html,2003,2015,Duke University,Boozer,Carlos,2430,boozeca01
Curtis Borchardt,/players/b/borchcu01.html,2004,2005,Stanford University,Borchardt,Curtis,2414,borchcu01
Lazaro Borrell,/players/b/borrela01.html,2000,2000,,Borrell,Lazaro,1953,borrela01
Chris Bosh,/players/b/boshch01.html,2004,2016,Georgia Institute of Technology,Bosh,Chris,2547,boshch01
Jim Bostic,/players/b/bostiji01.html,1978,1978,New Mexico State University,Bostic,Jim,76211,bostiji01
Lawrence Boston,/players/b/bostola01.html,1980,1980,University of Maryland,Boston,Lawrence,76212,bostola01
Tom Boswell,/players/b/bosweto01.html,1976,1984,University of South Carolina,Boswell,Tom,76213,bosweto01
Ruben Boumtje-Boumtje,/players/b/boumtru01.html,2002,2004,Georgetown University,Boumtje-Boumtje,Ruben,2257,boumtru01
Cal Bowdler,/players/b/bowdlca01.html,2000,2002,Old Dominion University,Bowdler,Cal,1898,bowdlca01
Bruce Bowen,/players/b/bowenbr01.html,1997,2009,"California State University, Fullerton",Bowen,Bruce,1477,bowenbr01
Ryan Bowen,/players/b/bowenry01.html,2000,2010,University of Iowa,Bowen,Ryan,1763,bowenry01
Anthony Bowie,/players/b/bowiean01.html,1989,1998,University of Oklahoma,Bowie,Anthony,194,bowiean01
Sam Bowie,/players/b/bowiesa01.html,1985,1995,University of Kentucky,Bowie,Sam,76217,bowiesa01
Ira Bowman,/players/b/bowmair01.html,2000,2002,University of Pennsylvania,Bowman,Ira,1085,bowmair01
Donnie Boyce,/players/b/boycedo01.html,1996,1997,University of Colorado,Boyce,Donnie,671,boycedo01
Dennis Boyd,/players/b/boydde01.html,1979,1979,University of Detroit Mercy,Boyd,Dennis,76221,boydde01
Freddie Boyd,/players/b/boydfr01.html,1973,1978,Oregon State University,,,,boydfr01
Earl Boykins,/players/b/boykiea01.html,1999,2012,Eastern Michigan University,Boykins,Earl,1863,boykiea01
Winford Boynes,/players/b/boynewi01.html,1979,1981,University of San Francisco,Boynes,Winford,76225,boynewi01
Cedric Bozeman,/players/b/bozemce01.html,2007,2007,"University of California, Los Angeles",Bozeman,Cedric,200841,bozemce01
Craig Brackins,/players/b/brackcr01.html,2011,2012,Iowa State University,Brackins,Craig,202342,brackcr01
Alex Bradley,/players/b/bradlal02.html,1982,1982,Villanova University,Bradley,Alex,76228,bradlal02
Alonzo Bradley,/players/b/bradlal01.html,1978,1980,Texas Southern University,Bradley,Alonzo,76229,bradlal01
Avery Bradley,/players/b/bradlav01.html,2011,2017,University of Texas at Austin,Bradley,Avery,202340,bradlav01
Bill Bradley,/players/b/bradlbi01.html,1968,1977,Princeton University,Bradley,Bill,76233,bradlbi01
Charles Bradley,/players/b/bradlch01.html,1982,1984,University of Wyoming,Bradley,Charles,76230,bradlch01
Dudley Bradley,/players/b/bradldu01.html,1980,1989,University of North Carolina,Bradley,Dudley,76231,bradldu01
Michael Bradley,/players/b/bradlmi01.html,2002,2006,Villanova University,Bradley,Michael,2214,bradlmi01
Shawn Bradley,/players/b/bradlsh01.html,1994,2005,Brigham Young University,Bradley,Shawn,762,bradlsh01
Mark Bradtke,/players/b/bradtma01.html,1997,1997,,Bradtke,Mark,1361,bradtma01
Marques Bragg,/players/b/braggma01.html,1996,1996,Providence College,Bragg,Marques,66,braggma01
Torraye Braggs,/players/b/braggto01.html,2004,2005,Xavier University,Braggs,Torraye,1765,braggto01
A.J. Bramlett,/players/b/bramlaj01.html,2000,2000,University of Arizona,Bramlett,A.J.,1920,bramlaj01
Adrian Branch,/players/b/brancad01.html,1987,1990,University of Maryland,Branch,Adrian,76237,brancad01
Elton Brand,/players/b/brandel01.html,2000,2016,Duke University,Brand,Elton,1882,brandel01
Terrell Brandon,/players/b/brandte01.html,1992,2002,University of Oregon,Brandon,Terrell,210,brandte01
Brad Branson,/players/b/bransbr01.html,1982,1983,Southern Methodist University,Branson,Brad,76239,bransbr01
Mike Bratz,/players/b/bratzmi01.html,1978,1986,Stanford University,Bratz,Mike,76242,bratzmi01
Tim Breaux,/players/b/breauti01.html,1995,1998,University of Wyoming,Breaux,Tim,160,breauti01
J.R. Bremer,/players/b/bremejr01.html,2003,2004,St. Bonaventure University,Bremer,J.R.,2452,bremejr01
Randy Breuer,/players/b/breuera01.html,1984,1994,University of Minnesota,Breuer,Randy,76247,breuera01
Corey Brewer,/players/b/breweco01.html,2008,2017,University of Florida,Brewer,Corey,201147,breweco01
Jamison Brewer,/players/b/breweja01.html,2002,2005,Auburn University,Brewer,Jamison,2249,breweja01
Jim Brewer,/players/b/breweji01.html,1974,1982,University of Minnesota,Brewer,Jim,76248,breweji01
Ron Brewer,/players/b/brewero01.html,1979,1986,University of Arkansas,Brewer,Ron,76249,brewero01
Ronnie Brewer,/players/b/brewero02.html,2007,2014,University of Arkansas,Brewer,Ronnie,200758,brewero02
Primoz Brezec,/players/b/brezepr01.html,2002,2010,,Brezec,Primoz,2056,brezepr01
Frank Brickowski,/players/b/brickfr01.html,1985,1997,Pennsylvania State University,Brickowski,Frank,783,brickfr01
Junior Bridgeman,/players/b/bridgju01.html,1976,1987,University of Louisville,Bridgeman,Junior,76252,bridgju01
Allan Bristow,/players/b/bristal01.html,1974,1983,Virginia Polytechnic Institute and State University,Bristow,Allan,76257,bristal01
Wayman Britt,/players/b/brittwa01.html,1978,1978,University of Michigan,Britt,Wayman,76259,brittwa01
Mike Brittain,/players/b/brittmi01.html,1986,1987,University of South Carolina,Brittain,Mike,76260,brittmi01
Dave Britton,/players/b/brittda01.html,1981,1981,Texas A&M University,,,,brittda01
Jon Brockman,/players/b/brockjo01.html,2010,2012,University of Washington,Brockman,Jon,201972,brockjo01
Jim Brogan,/players/b/brogaji01.html,1982,1983,West Virginia Wesleyan College,Brogan,Jim,76262,brogaji01
Malcolm Brogdon,/players/b/brogdma01.html,2017,2017,University of Virginia,Brogdon,Malcolm,1627763,brogdma01
Gary Brokaw,/players/b/brokaga01.html,1975,1978,University of Notre Dame,Brokaw,Gary,76263,brokaga01
Aaron Brooks,/players/b/brookaa01.html,2008,2017,University of Oregon,Brooks,Aaron,201166,brookaa01
Kevin Brooks,/players/b/brookke01.html,1992,1994,University of Louisiana at Lafayette,Brooks,Kevin,76265,brookke01
MarShon Brooks,/players/b/brookma01.html,2012,2014,Providence College,Brooks,MarShon,202705,brookma01
Michael Brooks,/players/b/brookmi01.html,1981,1988,La Salle University,Brooks,Michael,76266,brookmi01
Scott Brooks,/players/b/brooksc01.html,1989,1998,"University of California, Irvine",Brooks,Scott,418,brooksc01
Andre Brown,/players/b/brownan01.html,2007,2009,DePaul University,Brown,Andre,2810,brownan01
Anthony Brown,/players/b/brownan02.html,2016,2017,Stanford University,Brown,Anthony,1626148,brownan02
Bobby Brown,/players/b/brownbo02.html,2009,2017,"California State University, Fullerton",Brown,Bobby,201628,brownbo02
Chucky Brown,/players/b/brownch01.html,1990,2002,North Carolina State University,Brown,Chucky,359,brownch01
Damone Brown,/players/b/brownda02.html,2002,2005,Syracuse University,Brown,Damone,2245,brownda02
Dee Brown,/players/b/brownde01.html,1991,2002,Jacksonville University,Brown,Dee,244,brownde01
Dee Brown,/players/b/brownde03.html,2007,2009,University of Illinois at Urbana-Champaign,Brown,Dee,200793,brownde03
Derrick Brown,/players/b/brownde04.html,2010,2012,Xavier University,Brown,Derrick,201974,brownde04
Devin Brown,/players/b/brownde02.html,2003,2010,University of Texas at San Antonio,Brown,Devin,2484,brownde02
Ernest Brown,/players/b/browner01.html,2002,2002,Indian Hills Community College,Brown,Ernest,2081,browner01
Fred Brown,/players/b/brownfr01.html,1972,1984,University of Iowa,Brown,Fred,76272,brownfr01
Gerald Brown,/players/b/brownge02.html,1999,1999,Pepperdine University,Brown,Gerald,1871,brownge02
Jabari Brown,/players/b/brownja01.html,2015,2015,University of Missouri,Brown,Jabari,203913,brownja01
Jaylen Brown,/players/b/brownja02.html,2017,2017,University of California,Brown,Jaylen,1627759,brownja02
John Brown,/players/b/brownjo01.html,1974,1980,University of Missouri,Brown,John,76276,brownjo01
Kedrick Brown,/players/b/brownke01.html,2002,2005,Okaloosa-Walton Community College,Brown,Kedrick,2208,brownke01
Kwame Brown,/players/b/brownkw01.html,2002,2013,,Brown,Kwame,2198,brownkw01
Lewis Brown,/players/b/brownle02.html,1981,1981,"University of Nevada, Las Vegas",Brown,Lewis,76279,brownle02
Lorenzo Brown,/players/b/brownlo01.html,2014,2016,North Carolina State University,Brown,Lorenzo,203485,brownlo01
Marcus Brown,/players/b/brownma01.html,1997,2000,Murray State University,Brown,Marcus,992,brownma01
Markel Brown,/players/b/brownma02.html,2015,2016,Oklahoma State University,Brown,Markel,203900,brownma02
Mike Brown,/players/b/brownmi01.html,1987,1997,George Washington University,Brown,Mike,1479,brownmi01
Myron Brown,/players/b/brownmy01.html,1992,1992,Slippery Rock University of Pennsylvania,Brown,Myron,76277,brownmy01
P.J. Brown,/players/b/brownpj01.html,1994,2008,Louisiana Tech University,Brown,P.J.,136,brownpj01
Randy Brown,/players/b/brownra02.html,1992,2003,New Mexico State University,Brown,Randy,753,brownra02
Raymond Brown,/players/b/brownra01.html,1990,1990,University of Idaho,Brown,Raymond,76282,brownra01
Rickey Brown,/players/b/brownri01.html,1981,1985,Mississippi State University,Brown,Rickey,76283,brownri01
Roger Brown,/players/b/brownro02.html,1973,1980,University of Kansas,Brown,Roger,76286,brownro02
Shannon Brown,/players/b/brownsh01.html,2007,2015,Michigan State University,Brown,Shannon,200769,brownsh01
Tierre Brown,/players/b/brownti01.html,2002,2005,McNeese State University,Brown,Tierre,2357,brownti01
Tony Brown,/players/b/brownto01.html,1985,1992,University of Arkansas,Brown,Tony,76268,brownto01
Stanley Brundy,/players/b/brundst01.html,1990,1990,DePaul University,Brundy,Stanley,76288,brundst01
Rick Brunson,/players/b/brunsri01.html,1998,2006,Temple University,Brunson,Rick,1594,brunsri01
Nicolas Brussino,/players/b/brussni01.html,2017,2017,,Brussino,Nicolas,1627852,brussni01
Joe Bryant,/players/b/bryanjo01.html,1976,1983,La Salle University,Bryant,Joe,76290,bryanjo01
Kobe Bryant,/players/b/bryanko01.html,1997,2016,,Bryant,Kobe,977,bryanko01
Mark Bryant,/players/b/bryanma01.html,1989,2003,Seton Hall University,Bryant,Mark,95,bryanma01
Wallace Bryant,/players/b/bryanwa01.html,1984,1986,University of San Francisco,Bryant,Wallace,76291,bryanwa01
Torgeir Bryn,/players/b/brynto01.html,1990,1990,Texas State University,Bryn,Torgeir,76292,brynto01
Steve Bucknall,/players/b/bucknst01.html,1990,1990,University of North Carolina,Bucknall,Steve,76294,bucknst01
Greg Buckner,/players/b/buckngr01.html,2000,2009,Clemson University,Buckner,Greg,1761,buckngr01
Quinn Buckner,/players/b/bucknqu01.html,1977,1986,Indiana University,Buckner,Quinn,76296,bucknqu01
Chase Budinger,/players/b/budinch01.html,2010,2016,University of Arizona,Budinger,Chase,201978,budinch01
Jud Buechler,/players/b/buechju01.html,1991,2002,University of Arizona,Buechler,Jud,146,buechju01
Rodney Buford,/players/b/buforro01.html,2000,2005,Creighton University,Buford,Rodney,1934,buforro01
Matt Bullard,/players/b/bullama01.html,1991,2002,University of Iowa,Bullard,Matt,672,bullama01
Reggie Bullock,/players/b/bullore01.html,2014,2017,University of North Carolina,Bullock,Reggie,203493,bullore01
Greg Bunch,/players/b/bunchgr01.html,1979,1979,"California State University, Fullerton",Bunch,Greg,76300,bunchgr01
Ticky Burden,/players/b/burdeti01.html,1976,1978,University of Utah,,,,burdeti01
Pat Burke,/players/b/burkepa01.html,2003,2007,Auburn University,Burke,Pat,2469,burkepa01
Trey Burke,/players/b/burketr01.html,2014,2017,University of Michigan,Burke,Trey,203504,burketr01
Roger Burkman,/players/b/burkmro01.html,1982,1982,University of Louisville,Burkman,Roger,76304,burkmro01
Alec Burks,/players/b/burksal01.html,2012,2017,University of Colorado,Burks,Alec,202692,burksal01
Antonio Burks,/players/b/burksan01.html,2005,2006,University of Memphis,Burks,Antonio,2766,burksan01
Kevin Burleson,/players/b/burleke01.html,2006,2006,University of Minnesota,Burleson,Kevin,101207,burleke01
Tom Burleson,/players/b/burleto01.html,1975,1981,North Carolina State University,Burleson,Tom,76305,burleto01
David Burns,/players/b/burnsda01.html,1982,1982,Saint Louis University,Burns,David,76307,burnsda01
Evers Burns,/players/b/burnsev01.html,1994,1994,University of Maryland,Burns,Evers,76308,burnsev01
Scott Burrell,/players/b/burresc01.html,1994,2001,University of Connecticut,Burrell,Scott,197,burresc01
Junior Burrough,/players/b/burroju01.html,1996,1996,University of Virginia,Burrough,Junior,675,burroju01
Willie Burton,/players/b/burtowi01.html,1991,1999,University of Minnesota,Burton,Willie,416,burtowi01
Steve Burtt,/players/b/burttst01.html,1985,1993,Iona College,Burtt,Steve,76316,burttst01
Don Buse,/players/b/busedo01.html,1973,1985,University of Evansville,Buse,Don,76317,busedo01
Caron Butler,/players/b/butleca01.html,2003,2016,University of Connecticut,Butler,Caron,2406,butleca01
Greg Butler,/players/b/butlegr01.html,1989,1991,Stanford University,Butler,Greg,76320,butlegr01
Jackie Butler,/players/b/butleja01.html,2005,2007,,Butler,Jackie,2866,butleja01
Jimmy Butler,/players/b/butleji01.html,2012,2017,Marquette University,Butler,Jimmy,202710,butleji01
Mitchell Butler,/players/b/butlemi02.html,1994,2004,"University of California, Los Angeles",Butler,Mitchell,348,butlemi02
Rasual Butler,/players/b/butlera01.html,2003,2016,La Salle University,Butler,Rasual,2446,butlera01
Dwight Buycks,/players/b/buyckdw01.html,2014,2015,Marquette University,Buycks,Dwight,202779,buyckdw01
Derrick Byars,/players/b/byarsde01.html,2012,2012,Vanderbilt University,Byars,Derrick,201182,byarsde01
Andrew Bynum,/players/b/bynuman01.html,2006,2014,,Bynum,Andrew,101115,bynuman01
Will Bynum,/players/b/bynumwi01.html,2006,2015,Georgia Institute of Technology,Bynum,Will,101198,bynumwi01
Marty Byrnes,/players/b/byrnema01.html,1979,1983,Syracuse University,Byrnes,Marty,76321,byrnema01
Zarko Cabarkapa,/players/c/cabarza01.html,2004,2006,,Cabarkapa,Zarko,2560,cabarza01
Bruno Caboclo,/players/c/cabocbr01.html,2015,2017,,Caboclo,Bruno,203998,cabocbr01
Jason Caffey,/players/c/caffeja01.html,1996,2003,University of Alabama,Caffey,Jason,679,caffeja01
Michael Cage,/players/c/cagemi01.html,1985,2000,San Diego State University,Cage,Michael,262,cagemi01
Nick Calathes,/players/c/calatni01.html,2014,2015,University of Florida,Calathes,Nick,201979,calatni01
Jose Calderon,/players/c/caldejo01.html,2006,2017,,Calderon,Jose,101181,caldejo01
Adrian Caldwell,/players/c/caldwad01.html,1990,1998,Lamar University,Caldwell,Adrian,154,caldwad01
Kentavious Caldwell-Pope,/players/c/caldwke01.html,2014,2017,University of Georgia,Caldwell-Pope,Kentavious,203484,caldwke01
Corky Calhoun,/players/c/calhoco01.html,1973,1980,University of Pennsylvania,Calhoun,Corky,76330,calhoco01
Demetrius Calip,/players/c/calipde01.html,1992,1992,University of Michigan,Calip,Demetrius,76332,calipde01
Rick Calloway,/players/c/callori01.html,1991,1991,University of Kansas,Calloway,Rick,76334,callori01
Mack Calvin,/players/c/calvima01.html,1970,1981,University of Southern California,Calvin,Mack,76336,calvima01
Dexter Cambridge,/players/c/cambrde01.html,1993,1993,University of Texas at Austin,Cambridge,Dexter,76337,cambrde01
Marcus Camby,/players/c/cambyma01.html,1997,2013,University of Massachusetts Amherst,Camby,Marcus,948,cambyma01
Elden Campbell,/players/c/campbel01.html,1991,2005,Clemson University,Campbell,Elden,922,campbel01
Tony Campbell,/players/c/campbto01.html,1985,1995,Ohio State University,Campbell,Tony,76338,campbto01
Isaiah Canaan,/players/c/canaais01.html,2014,2017,Murray State University,Canaan,Isaiah,203477,canaais01
Clint Capela,/players/c/capelca01.html,2015,2017,,Capela,Clint,203991,capelca01
Derrick Caracter,/players/c/caracde01.html,2011,2011,University of Texas at El Paso,Caracter,Derrick,202382,caracde01
Brian Cardinal,/players/c/cardibr01.html,2001,2012,Purdue University,Cardinal,Brian,2073,cardibr01
Geno Carlisle,/players/c/carlige01.html,2005,2005,University of California,Carlisle,Geno,2367,carlige01
Rick Carlisle,/players/c/carliri01.html,1985,1990,University of Virginia,Carlisle,Rick,76342,carliri01
Rodney Carney,/players/c/carnero01.html,2007,2011,University of Memphis,Carney,Rodney,200760,carnero01
Antoine Carr,/players/c/carran01.html,1985,2000,Wichita State University,Carr,Antoine,156,carran01
Austin Carr,/players/c/carrau01.html,1972,1981,University of Notre Dame,Carr,Austin,76348,carrau01
Chris Carr,/players/c/carrch01.html,1996,2001,Southern Illinois University,Carr,Chris,713,carrch01
Cory Carr,/players/c/carrco01.html,1999,1999,Texas Tech University,Carr,Cory,1757,carrco01
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,Carr,Kenny,76350,carrke01
M.L. Carr,/players/c/carrml01.html,1976,1985,Guilford College,Carr,M.L.,76351,carrml01
Bob Carrington,/players/c/carribo01.html,1978,1980,Boston College,Carrington,Bob,76352,carribo01
DeMarre Carroll,/players/c/carrode01.html,2010,2017,University of Missouri,Carroll,DeMarre,201960,carrode01
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,Carroll,Joe Barry,76353,carrojo01
Matt Carroll,/players/c/carroma01.html,2004,2013,University of Notre Dame,Carroll,Matt,2679,carroma01
Jimmy Carruth,/players/c/carruji01.html,1997,1997,Virginia Polytechnic Institute and State University,Carruth,Jimmy,1131,carruji01
Anthony Carter,/players/c/cartean01.html,2000,2012,University of Hawaii,Carter,Anthony,1853,cartean01
Butch Carter,/players/c/cartebu01.html,1981,1986,Indiana University,Carter,Butch,76355,cartebu01
Fred Carter,/players/c/cartefr01.html,1970,1977,Mount St. Mary's University,Carter,Fred,76356,cartefr01
